Issue Type,Key,Summary,Description,Epic Link,Story Points,Acceptance Criteria,Priority,Labels
Epic,HF-SEC-01,Security Baseline Hardening,"Close critical security risks before scale/features.",,,"No plaintext secrets in repo; no wildcard credentialed CORS; security tests pass.",Highest,"security,phase0"
Story,HF-SEC-11,Externalize secrets from config files,"Replace YAML secrets with env/secret-provider bindings and fail-fast startup validation.",HF-SEC-01,8,"App boots only with injected secrets; no secrets committed.",Highest,"security,backend,phase0"
Story,HF-SEC-12,Enforce strict CORS per environment,"Remove wildcard origins and add explicit allowlists for dev/staging/prod.",HF-SEC-01,5,"Credentialed CORS works only for allowlisted origins; blocked-origin tests pass.",Highest,"security,backend,phase0"
Story,HF-SEC-13,Cookie-based refresh token and CSRF protections,"Move refresh flow to httpOnly secure cookies and implement CSRF defense for cookie-auth endpoints.",HF-SEC-01,8,"Refresh flow works end-to-end; CSRF negative tests fail as expected.",Highest,"security,auth,frontend,backend,phase0"
Story,HF-SEC-14,Security headers baseline,"Enforce CSP HSTS X-Frame-Options and X-Content-Type-Options.",HF-SEC-01,3,"Headers present and validated by automated checks.",High,"security,backend,phase0"
Story,HF-SEC-15,CI security gates,"Add secret scanning and dependency CVE gating to CI.",HF-SEC-01,3,"Pipeline fails on critical policy violations.",High,"security,devops,phase0"
Epic,HF-BE-01,Backend Correctness and Integrity,"Improve booking correctness concurrency control and data integrity.",,,"Standardized domain errors; overlap/concurrency tests pass; key query performance improved.",Highest,"backend,phase1"
Story,HF-BE-11,Booking overlap validation,"Validate date overlap at service and persistence layers.",HF-BE-01,5,"Overlapping bookings are rejected with domain error.",Highest,"backend,booking,phase1"
Story,HF-BE-12,Domain exception hierarchy and global handler,"Replace generic runtime exceptions with typed domain/application exceptions and unified API mapping.",HF-BE-01,5,"Consistent error schema by category and code.",High,"backend,api,phase1"
Story,HF-BE-13,Optimistic locking on critical entities,"Add @Version fields to booking/payment entities and conflict handling.",HF-BE-01,5,"Concurrent write conflicts are detected and surfaced correctly.",High,"backend,concurrency,phase1"
Story,HF-BE-14,Audit metadata and soft delete baseline,"Add created/updated/deleted metadata and soft-delete query behavior.",HF-BE-01,8,"Logical delete behavior verified; audit fields auto-populate.",High,"backend,data,phase1"
Story,HF-BE-15,Indexing and query optimization,"Add missing and composite indexes for hot paths including email status landlord_id.",HF-BE-01,8,"Measured query latency improves against baseline.",High,"backend,postgres,performance,phase1"
Epic,HF-FE-01,Frontend Architecture Consolidation,"Reduce architectural inconsistency memory leaks and runtime ambiguity.",,,"Single websocket owner; no missing prod env keys; interceptor responsibilities clarified.",Highest,"frontend,phase1"
Story,HF-FE-11,Production environment contract completion,"Ensure required prod env keys apiUrl wsUrl and feature flags are present and validated.",HF-FE-01,3,"Production build/runtime has no missing environment keys.",Highest,"frontend,config,phase0"
Story,HF-FE-12,WebSocket connection unification,"Refactor ChatService to consume shared websocket service and prevent duplicate connections.",HF-FE-01,8,"Only one websocket client/session per logged-in user.",High,"frontend,websocket,phase1"
Story,HF-FE-13,Subscription lifecycle cleanup,"Adopt takeUntilDestroyed or equivalent in leak-prone components.",HF-FE-01,5,"Memory regression checklist passes for key screens.",High,"frontend,rxjs,phase1"
Story,HF-FE-14,Interceptor responsibility cleanup,"Remove duplicate 401 handling and define single auth recovery owner.",HF-FE-01,3,"401 flow is deterministic and non-duplicative.",High,"frontend,auth,phase0"
Story,HF-FE-15,UI stack guardrails,"Standardize on Ionic plus Tailwind and stop new Angular Material adoption.",HF-FE-01,3,"PR checks/documentation enforce UI stack policy.",Medium,"frontend,design-system,phase1"
Epic,HF-STATE-01,Centralized State Platform,"Migrate scattered service state to NgRx Signal Store.",,,"Core slices migrated and store patterns documented.",High,"frontend,state,phase1"
Story,HF-STATE-11,State architecture conventions,"Define slice boundaries naming selector/effect conventions and testing standards.",HF-STATE-01,3,"Architecture decision approved with example slice.",High,"frontend,state,phase1"
Story,HF-STATE-12,Auth slice migration,"Move auth/session/profile state to store.",HF-STATE-01,5,"Auth flows read/write state via store only.",High,"frontend,state,auth,phase1"
Story,HF-STATE-13,Listings and search slice migration,"Migrate listing feed/filter/sort/search state to store.",HF-STATE-01,8,"Listings UX operates with store-backed state and caching rules.",High,"frontend,state,listings,phase1"
Story,HF-STATE-14,Booking slice migration,"Migrate booking lifecycle state to store.",HF-STATE-01,8,"Booking views/actions are store-driven with predictable transitions.",High,"frontend,state,booking,phase1"
Story,HF-STATE-15,Chat and notifications slice migration,"Migrate unread/message/notification state to store.",HF-STATE-01,8,"Unread counts and message state are centralized and consistent.",High,"frontend,state,chat,phase1"
Epic,HF-EVT-01,Event-Driven Backbone,"Decouple synchronous workflows and enable reliable async processing.",,,"Outbox enabled; retries and DLQ operational; key flows event-driven.",High,"backend,events,phase2"
Story,HF-EVT-11,Domain event contract definitions,"Define versioned schemas for booking property message notification events.",HF-EVT-01,3,"Event contracts documented and versioned.",High,"backend,events,phase2"
Story,HF-EVT-12,Outbox pattern implementation,"Implement transactional outbox for reliable event publishing.",HF-EVT-01,8,"Events publish reliably without dual-write loss.",High,"backend,events,data,phase2"
Story,HF-EVT-13,RabbitMQ topology with retry and DLQ,"Define exchanges queues retry policies and dead-letter routing.",HF-EVT-01,8,"Failed events route through retry and DLQ as configured.",High,"backend,rabbitmq,phase2"
Story,HF-EVT-14,Notification flow async migration,"Move notification triggers to broker-driven consumers.",HF-EVT-01,5,"Notifications delivered via async consumers not tight service coupling.",High,"backend,notifications,phase2"
Story,HF-EVT-15,Search indexing consumer,"Build consumer to update OpenSearch from domain events.",HF-EVT-01,5,"Listing changes are reflected in search index reliably.",High,"backend,search,phase2"
Epic,HF-SCALE-01,Search Cache and Resilience,"Maintain performance under growth with cache search and resilience controls.",,,"P95 latency targets met; resilience tests pass; cache KPIs visible.",High,"performance,phase2"
Story,HF-SCALE-11,Redis cache strategy implementation,"Implement key design TTL and invalidation for hot data paths.",HF-SCALE-01,5,"Cache hit ratio and invalidation behavior meet targets.",High,"backend,redis,phase2"
Story,HF-SCALE-12,Eliminate N+1 in property search paths,"Apply fetch/entity graph strategies on hotspot queries.",HF-SCALE-01,5,"Profile shows no N+1 in prioritized search endpoints.",High,"backend,jpa,phase2"
Story,HF-SCALE-13,OpenSearch integration for discovery search,"Implement full-text geo and faceted search with relevance tuning.",HF-SCALE-01,13,"Search parity and latency targets met for discovery use-cases.",High,"backend,opensearch,phase2"
Story,HF-SCALE-14,Resilience4j policy rollout,"Add retry circuit-breaker bulkhead and rate-limit policies for critical endpoints.",HF-SCALE-01,8,"Fault-injection tests verify graceful degradation.",High,"backend,resilience,phase2"
Epic,HF-PAY-01,Stripe and KYC Marketplace Trust,"Launch monetization and owner trust/compliance workflows.",,,"Sandbox E2E payment flow works; KYC gates enforced; webhook idempotency proven.",High,"payments,kyc,phase3"
Story,HF-PAY-11,Stripe payment intents and webhooks,"Implement payment intent lifecycle and signed webhook handling.",HF-PAY-01,8,"Successful and failed payment paths validated with idempotent processing.",High,"backend,stripe,phase3"
Story,HF-PAY-12,Payout and commission ledger,"Implement owner payout calculations transfers and accounting entries.",HF-PAY-01,8,"Ledger balances reconcile with transaction events.",High,"backend,payments,phase3"
Story,HF-PAY-13,Landlord KYC workflow and gating,"Implement KYC states verification process and policy gates.",HF-PAY-01,8,"Unverified owners are blocked from restricted actions.",High,"backend,kyc,phase3"
Story,HF-PAY-14,Dispute and refund operational flow,"Implement support flow for disputes refunds and traceable outcomes.",HF-PAY-01,5,"Refund/dispute scenarios complete with audit trail.",Medium,"payments,support,phase3"
Epic,HF-VEH-01,Vehicle Vertical Launch,"Launch vehicles rental vertical on shared marketplace primitives.",,,"Vehicle listing to booking journey complete and feature-flagged by region.",High,"vehicles,phase3"
Story,HF-VEH-11,Vehicle domain and listing CRUD,"Add vehicle entities DTOs APIs and owner management flows.",HF-VEH-01,8,"Vehicle listings can be created updated published archived.",High,"backend,frontend,vehicles,phase3"
Story,HF-VEH-12,Vehicle search and filter facets,"Add vehicle-specific filters availability and ranking behavior.",HF-VEH-01,5,"Vehicle discovery supports required facets and sorting.",High,"search,vehicles,phase3"
Story,HF-VEH-13,Vehicle booking lifecycle rules,"Implement pickup/return deposit and policy rules for vehicle bookings.",HF-VEH-01,8,"Vehicle booking lifecycle passes E2E tests.",High,"booking,vehicles,phase3"
Story,HF-VEH-14,Feature-flagged regional rollout,"Roll out vehicle vertical behind flags by region and cohort.",HF-VEH-01,3,"Controlled rollout and rollback validated.",Medium,"release,vehicles,phase3"
Epic,HF-OPS-01,Multi-Region AWS and Observability,"Operationalize multi-region routing DR and SLO-based operations.",,,"Region failover drills pass; golden-signal dashboards and runbooks are active.",High,"devops,sre,phase4"
Story,HF-OPS-11,Route53 latency routing and health failover,"Configure latency-based routing with health checks and regional failover.",HF-OPS-01,5,"Traffic routes to nearest healthy region and fails over automatically.",High,"aws,network,phase4"
Story,HF-OPS-12,Cross-region DR drills and validation,"Run DR game-days to validate RPO/RTO and recovery playbooks.",HF-OPS-01,8,"RPO and RTO targets validated and documented.",High,"aws,dr,phase4"
Story,HF-OPS-13,Golden signal dashboards and alert rules,"Implement API DB cache queue and search dashboards with actionable alerts.",HF-OPS-01,5,"On-call can detect and triage top incidents from dashboards.",High,"observability,phase1,phase4"
Story,HF-OPS-14,Runbooks and incident playbooks,"Create incident response runbooks and ownership/escalation procedures.",HF-OPS-01,3,"Runbooks complete and linked from alerts.",Medium,"sre,operations,phase4"
Story,HF-OPS-15,SLO and error-budget governance rollout,"Define service SLOs alert thresholds and error-budget policy.",HF-OPS-01,5,"SLOs are published reviewed and tracked in recurring ops reviews.",Medium,"sre,slo,phase4"
